# Type, Name, Class_ID, Sizeof, Value, C_Type, C_Format, Hidden, Description, Min_Value, Max_Value, Permissions (Read|Write|Set-by-create), Mandatory (Mandatory|Optional), Operations (Create|Delete|Set|Get|get-Next|Test|Reboot|stArt-download|downLoad-section|End-download|activate-Image|coMmit-image|sYnchronize-time)
        value, unlock,,,0,,,,,,,,,
        value, lock,,,1,,,,,,,,,
    attribute, oper_state,,1,, enum,,, Operational State,,, R,O,
        value, enabled,,,0,,,,,,,,,
        value, disabled,,,1,,,,,,,,,
    attribute, config_ind,,1,, enum,,, Config Indication,,, R,M,
        value, config_unknown,,,0,,,,,,,,,
        value, config_10_base_t_full_duplex,,,1,,,,,,,,,
        value, config_100_base_t_full_duplex,,,2,,,,,,,,,
        value, config_gig_ethernet_full_duplex,,,3,,,,,,,,,
        value, config_10_gig_ethernet_full_duplex,,,4,,,,,,,,,
        value, config_10_base_t_half_duplex,,,17,,,,,,,,,
        value, config_100_base_t_half_duplex,,,18,,,,,,,,,
        value, config_gig_ethernet_half_duplex,,,19,,,,,,,,,
    attribute, max_frame_size,,2,, int, %u,, Max frame size,,, RW, M,
    attribute, dte_or_dce_ind,,1,, enum,,, DTE or DCE ind,,, RW,M,
        value, dce_or_mdi_x,,,0,,,, Default,,,,,
        value, dte_or_mdi,,,1,,,,,,,,,
